record_id,caller_number,receiver_number,call_type,record_type,start_time,duration_seconds,cell_tower_lat,cell_tower_lon,imei
2,9824942603,9876543210,Outgoing,Call,2024-01-01 07:21:06,54,18.964386842743643,72.84979347291939,352999000000001
1,9876543210,9866629388,Incoming,Call,2024-01-01 08:35:12,16,19.038944181849647,72.84050751549553,352999000000001
3,9876543210,9821668732,Outgoing,Call,2024-01-01 10:53:40,1,19.232856645619822,72.98875953163045,352999000000001
134,9895822412,9824942603,Incoming,Call,2024-01-01 12:13:00,66,19.041285178979063,72.83742920679923,3529990000025
150,9846913810,9824942603,Incoming,Call,2024-01-01 19:11:00,297,18.95183282986472,72.84384893450594,3529990000067
5,9876543210,9839958838,Incoming,Call,2024-01-02 04:14:43,2,19.141732226279274,72.89322948530759,352999000000001
4,9813356886,9876543210,Outgoing,Call,2024-01-02 10:53:23,83,19.03402419631089,72.83764432775453,352999000000001
142,9823756669,9842868828,Incoming,Call,2024-01-02 20:41:00,192,18.936264155914078,72.8106341210274,3529990000093
9,9876543210,9883197857,Incoming,Call,2024-01-03 00:46:16,529,18.91498517805649,72.83207532400226,352999000000001
11,9876543210,9814265799,Outgoing,Call,2024-01-03 03:52:04,179,19.219130213622545,72.98129781752448,352999000000001
8,9876543210,9889254563,Incoming,Call,2024-01-03 04:55:00,358,19.107405003859423,72.85944473263034,352999000000001
148,9895822412,9813356886,Incoming,Call,2024-01-03 11:49:00,206,19.086284013356398,72.86857155971938,3529990000029
10,9876543210,9895822412,Outgoing,Call,2024-01-03 13:33:58,324,18.912137754994827,72.83554028797613,352999000000001
7,9823756669,9876543210,Outgoing,Call,2024-01-03 14:08:32,442,19.110143019350236,72.87257665285082,352999000000001
123,9822575562,9883197857,Incoming,Call,2024-01-03 18:42:00,19,19.144577930069463,72.8923078876863,3529990000037
116,9813999315,9842868828,Incoming,Call,2024-01-03 18:55:00,246,19.116009882222336,72.88332694430167,3529990000015
6,9876543210,9828728463,Incoming,Call,2024-01-03 19:41:31,4,19.225710414349567,72.97595301481884,352999000000001
13,9876543210,9846913810,Outgoing,Call,2024-01-04 00:37:35,0,19.086789062007615,72.86482572049667,352999000000001
14,9876543210,9813356886,Incoming,Call,2024-01-04 08:13:34,494,19.13941229743086,72.88980792442686,352999000000001
143,9839958838,9842868828,Incoming,Call,2024-01-04 20:23:00,235,19.160539124848654,72.89849934304782,3529990000033
12,9866629388,9876543210,Missed,Call,2024-01-04 20:44:12,0,18.97528842253929,72.83414458424173,352999000000001
19,9839958838,9876543210,Incoming,Call,2024-01-05 04:03:47,171,19.089823367098234,72.86510334395722,352999000000001
16,9828728463,9876543210,Outgoing,SMS,2024-01-05 04:28:08,0,19.10011764988575,72.88467847405238,352999000000001
18,9876543210,9828728463,Incoming,Call,2024-01-05 09:29:18,508,19.02369693601803,72.83683102695242,352999000000001
133,9839958838,9814265799,Incoming,Call,2024-01-05 10:02:00,81,19.226065234642967,72.97717330381467,3529990000088
15,9876543210,9895822412,Missed,Call,2024-01-05 10:55:46,0,19.155546407653237,72.91091777532584,352999000000001
17,9813999315,9876543210,Outgoing,Call,2024-01-05 18:59:48,70,19.02936919356931,72.85985926531339,352999000000001
20,9876543210,9822575562,Incoming,Call,2024-01-06 01:25:07,4,19.085841187732093,72.8737277759827,352999000000001
21,9889254563,9876543210,Outgoing,Call,2024-01-06 03:08:42,3,19.10079782163299,72.86109462936801,352999000000001
22,9822575562,9876543210,Outgoing,Call,2024-01-06 09:56:04,319,19.081035896111377,72.8793380684747,352999000000001
119,9883197857,9821668732,Incoming,Call,2024-01-06 13:23:00,219,19.226533943657213,72.98346693161679,3529990000016
159,9883197857,9889254563,Outgoing,Call,2024-01-06 17:37:00,182,19.043275900123405,72.84720854103293,3529990000013
23,9876543210,9866629388,Outgoing,Call,2024-01-07 00:56:06,218,19.21846227174294,72.97063363756209,352999000000001
24,9895822412,9876543210,Incoming,Call,2024-01-07 03:53:17,462,19.150527205943245,72.89025621641768,352999000000001
141,9895822412,9842868828,Outgoing,Call,2024-01-07 08:50:00,171,18.93840112939851,72.82466150767765,3529990000079
128,9822575562,9813999315,Incoming,Call,2024-01-07 13:43:00,154,18.9716437211175,72.83568720074463,3529990000063
129,9813356886,9813999315,Incoming,Call,2024-01-07 20:38:00,36,19.037235371086133,72.85652350835156,3529990000080
26,9876543210,9822575562,Missed,Call,2024-01-08 06:49:35,0,18.9363381708866,72.83848618098793,352999000000001
25,9876543210,9821668732,Outgoing,Call,2024-01-08 13:53:23,50,19.064102296150192,72.87508589217668,352999000000001
132,9883197857,9839958838,Outgoing,Call,2024-01-08 14:05:00,24,19.067360546263494,72.87057249373179,3529990000093
27,9895822412,9876543210,Missed,Call,2024-01-08 18:56:26,0,19.157767054168115,72.91282192085126,352999000000001
29,9846913810,9876543210,Outgoing,Call,2024-01-09 08:01:42,369,19.15408554355081,72.91220983489816,352999000000001
28,9824942603,9876543210,Outgoing,Call,2024-01-09 09:50:44,481,19.066955726020158,72.89146036497458,352999000000001
30,9876543210,9822575562,Outgoing,SMS,2024-01-09 10:01:07,0,19.144070613350397,72.91049284534611,352999000000001
115,9842868828,9814265799,Outgoing,Call,2024-01-09 17:03:00,168,19.071652274593394,72.86872821736713,3529990000057
33,9876543210,9828728463,Missed,Call,2024-01-10 07:26:42,0,19.215482255062746,72.98811175507912,352999000000001
34,9876543210,9814265799,Incoming,Call,2024-01-10 09:13:27,228,18.97211206197318,72.84939496011049,352999000000001
31,9876543210,9828728463,Outgoing,Call,2024-01-10 14:32:07,542,18.92132664415344,72.8112992143338,352999000000001
32,9876543210,9839958838,Outgoing,SMS,2024-01-10 15:21:39,0,19.069872011611732,72.87646965607577,352999000000001
35,9876543210,9842868828,Incoming,Call,2024-01-10 16:42:05,250,19.21003921997992,72.9690738979818,352999000000001
151,9846913810,9821668732,Outgoing,Call,2024-01-10 19:58:00,72,18.952371852531915,72.82282156117529,3529990000032
127,9823756669,9821668732,Outgoing,Call,2024-01-10 20:47:00,283,18.955475054917365,72.84956789911583,3529990000070
36,9876543210,9813999315,Outgoing,SMS,2024-01-11 03:30:39,0,18.960289585886297,72.82502714035274,352999000000001
145,9883197857,9842868828,Incoming,Call,2024-01-11 09:05:00,166,19.07117747289299,72.88912988733935,3529990000031
37,9876543210,9813999315,Outgoing,Call,2024-01-11 15:57:48,540,18.949806551554218,72.8280759483898,352999000000001
118,9814265799,9813999315,Outgoing,Call,2024-01-11 19:05:00,136,19.0392286511297,72.8600295806794,3529990000077
38,9876543210,9889254563,Incoming,Call,2024-01-12 12:51:29,463,19.158617075091644,72.90333615851833,352999000000001
149,9889254563,9823756669,Outgoing,Call,2024-01-12 13:28:00,281,19.109608498459618,72.86413156323944,3529990000045
146,9866629388,9823756669,Incoming,Call,2024-01-12 15:02:00,150,19.076984079314776,72.89134433486488,3529990000017
39,9876543210,9823756669,Incoming,SMS,2024-01-12 20:47:55,0,18.967102453109455,72.82883792340752,352999000000001
41,9876543210,9846913810,Outgoing,Call,2024-01-13 13:26:03,30,19.14800939197672,72.91518224972302,352999000000001
40,9839958838,9876543210,Incoming,Call,2024-01-13 16:15:17,166,18.912326865521415,72.82142798109,352999000000001
138,9883197857,9895822412,Incoming,Call,2024-01-13 21:30:00,201,19.068609507832075,72.86318726693327,3529990000018
43,9876543210,9889254563,Incoming,SMS,2024-01-14 01:21:42,0,19.088207865877603,72.88045678326884,352999000000001
131,9813356886,9813999315,Incoming,Call,2024-01-14 09:58:00,188,18.93831415781379,72.82164690717457,3529990000060
45,9828728463,9876543210,Outgoing,Call,2024-01-14 10:48:53,368,18.929904322797498,72.83263699148833,352999000000001
44,9828728463,9876543210,Outgoing,Call,2024-01-14 15:05:41,226,18.958105374146438,72.84343689123682,352999000000001
42,9813999315,9876543210,Incoming,Call,2024-01-14 17:54:57,235,18.954882649038645,72.83367507928139,352999000000001
135,9895822412,9846913810,Outgoing,Call,2024-01-14 18:50:00,66,18.973400631618162,72.83559487666713,3529990000078
152,9822575562,9866629388,Incoming,Call,2024-01-15 09:51:00,43,19.074299914424607,72.87631086848333,3529990000048
47,9876543210,9866629388,Incoming,Call,2024-01-15 10:38:38,36,19.220573901852372,72.99034078453143,352999000000001
46,9813999315,9876543210,Outgoing,Call,2024-01-15 17:15:12,587,18.924351019503057,72.81688731089687,352999000000001
49,9889254563,9876543210,Incoming,Call,2024-01-16 02:34:27,511,19.11160570203978,72.86556564115484,352999000000001
58,9876543210,9813999315,Incoming,Call,2024-01-16 08:03:16,0,19.02247592753421,72.84718518791253,352999000000001
154,9846913810,9814265799,Incoming,Call,2024-01-16 08:23:00,292,19.061693136891414,72.89412739340503,3529990000018
57,9876543210,9842868828,Outgoing,SMS,2024-01-16 09:03:35,0,19.217381908347914,72.97631406394407,352999000000001
55,9846913810,9876543210,Incoming,SMS,2024-01-16 09:07:46,0,18.93255813960527,72.81749498880906,352999000000001
59,9876543210,9883197857,Incoming,Call,2024-01-16 09:15:07,545,19.147215433946663,72.90018163012057,352999000000001
53,9876543210,9883197857,Incoming,Call,2024-01-16 09:26:31,27,19.107427067439616,72.86683203386033,352999000000001
61,9813356886,9876543210,Outgoing,Call,2024-01-16 09:35:04,247,19.22450867489637,72.9841896267428,352999000000001
54,9876543210,9839958838,Incoming,Call,2024-01-16 09:42:37,348,19.078885648265572,72.87572749280928,352999000000001
52,9876543210,9839958838,Outgoing,SMS,2024-01-16 10:31:13,0,19.07649881755145,72.86843169270581,352999000000001
48,9876543210,9824942603,Incoming,Call,2024-01-16 10:45:12,318,19.122486816498007,72.87167797666102,352999000000001
124,9839958838,9814265799,Outgoing,Call,2024-01-16 11:14:00,49,19.02687376304964,72.85394360521013,3529990000074
62,9822575562,9876543210,Incoming,Call,2024-01-16 12:43:14,212,19.137143289073833,72.89364428350798,352999000000001
144,9823756669,9866629388,Outgoing,Call,2024-01-16 13:59:00,227,19.205667810181662,72.9811735989649,3529990000033
51,9876543210,9846913810,Outgoing,SMS,2024-01-16 14:20:54,0,19.143791898596742,72.90172919510847,352999000000001
56,9821668732,9876543210,Outgoing,Call,2024-01-16 14:48:33,193,19.20372445101768,72.97912405267803,352999000000001
60,9876543210,9821668732,Incoming,Call,2024-01-16 19:27:19,222,18.9183393837587,72.81163562396401,352999000000001
50,9813356886,9876543210,Incoming,SMS,2024-01-16 19:29:45,0,18.962246213149037,72.84537203795263,352999000000001
157,9813999315,9824942603,Outgoing,Call,2024-01-17 10:19:00,175,19.046042135099174,72.83706410854145,3529990000076
65,9876543210,9821668732,Missed,Call,2024-01-17 15:55:36,0,19.22058740953808,72.98599327012515,352999000000002
64,9876543210,9883197857,Outgoing,Call,2024-01-17 16:17:32,340,19.20407594677165,72.96996773247166,352999000000002
136,9895822412,9889254563,Incoming,Call,2024-01-17 17:15:00,229,19.018046930078004,72.84088448118878,3529990000083
63,9824942603,9876543210,Incoming,Call,2024-01-17 20:52:09,305,18.95203060974524,72.84126033973637,352999000000002
68,9876543210,9813999315,Missed,Call,2024-01-18 10:49:25,0,18.96069742712398,72.82622747624184,352999000000002
67,9876543210,9824942603,Outgoing,Call,2024-01-18 11:20:42,420,19.07464477725805,72.87213551471511,352999000000002
66,9822575562,9876543210,Missed,Call,2024-01-18 12:41:28,0,18.97737165708197,72.8347003118488,352999000000002
71,9876543210,9842868828,Outgoing,SMS,2024-01-19 07:59:45,0,18.964837952306414,72.83210758039742,352999000000002
70,9813356886,9876543210,Outgoing,Call,2024-01-19 14:15:45,126,18.97671182227078,72.84003129066352,352999000000002
69,9876543210,9823756669,Outgoing,Call,2024-01-19 14:31:40,458,18.95194278250088,72.84979440447465,352999000000002
117,9823756669,9814265799,Incoming,Call,2024-01-19 18:12:00,266,19.06232583230087,72.86945621100303,3529990000023
72,9822575562,9876543210,Outgoing,Call,2024-01-19 20:32:47,358,19.227916484195568,72.97158516949848,352999000000002
74,9821668732,9876543210,Incoming,Call,2024-01-20 08:44:15,494,19.145282362574733,72.90681066488453,352999000000002
76,9866629388,9876543210,Incoming,SMS,2024-01-20 13:29:00,0,19.07649778201566,72.87952449971657,352999000000002
75,9895822412,9876543210,Missed,Call,2024-01-20 18:09:31,0,19.124825711221632,72.86790918629312,352999000000002
73,9876543210,9823756669,Outgoing,Call,2024-01-20 18:37:42,566,19.147360338505997,72.89655332050687,352999000000002
122,9828728463,9813356886,Incoming,Call,2024-01-20 19:05:00,178,19.227695543514443,72.98320349199984,3529990000097
78,9822575562,9876543210,Outgoing,Call,2024-01-21 05:40:43,112,18.95329094360188,72.82958398240733,352999000000002
161,9883197857,9842868828,Incoming,Call,2024-01-21 12:30:00,162,18.924006323988657,72.8298584071502,3529990000030
120,9814265799,9889254563,Outgoing,Call,2024-01-21 13:04:00,295,19.078151380345204,72.87612440921635,3529990000094
147,9824942603,9889254563,Outgoing,Call,2024-01-21 14:23:00,83,19.043460079299116,72.85064266615986,3529990000066
77,9876543210,9813999315,Missed,Call,2024-01-21 19:54:43,0,18.974471490521957,72.82167697299514,352999000000002
160,9824942603,9895822412,Outgoing,Call,2024-01-21 20:36:00,223,19.221843252789746,72.96400857695744,3529990000090
79,9842868828,9876543210,Outgoing,Call,2024-01-22 03:50:03,194,19.02325208065189,72.84858475360664,352999000000002
80,9876543210,9823756669,Outgoing,Call,2024-01-22 11:43:15,271,19.08796725595101,72.87665759766577,352999000000002
156,9823756669,9822575562,Outgoing,Call,2024-01-22 16:22:00,76,19.03097854859446,72.8576213681284,3529990000017
137,9828728463,9813356886,Outgoing,Call,2024-01-22 18:05:00,279,19.07412245879784,72.89119237007536,3529990000074
82,9823756669,9876543210,Outgoing,Call,2024-01-23 09:24:54,312,19.090338334537307,72.88244689447787,352999000000002
83,9876543210,9889254563,Missed,SMS,2024-01-23 09:36:55,0,18.973285166990195,72.84768804755349,352999000000002
81,9876543210,9823756669,Missed,Call,2024-01-23 15:10:04,0,19.154409405373805,72.90060507438002,352999000000002
84,9814265799,9876543210,Incoming,Call,2024-01-23 17:14:38,150,19.12570211112219,72.87409021826672,352999000000002
155,9842868828,9828728463,Incoming,Call,2024-01-23 19:30:00,47,19.137459803467777,72.89641083011381,3529990000019
153,9813999315,9813356886,Incoming,Call,2024-01-23 19:59:00,270,19.02472724845738,72.8598539764019,3529990000027
130,9822575562,9824942603,Incoming,Call,2024-01-23 21:33:00,52,19.121493504908752,72.86288373898773,3529990000075
87,9876543210,9813999315,Incoming,Call,2024-01-24 06:48:14,580,19.060509086267057,72.87943723680986,352999000000002
